Iteration	likelihood	prior	acceptance	tree	lambda1	lambda2	lambda3	mu1	mu2	mu3	q12	q13	q21	q23	q31	q32	g_lamb	g_mu	g_q	
1e+05	 -388.68644559796	 27.976470911272	 0.39206862745098	 1	 0.0910944116477748	 0.134070122973091	 0.146451080271936	 0.0179695839394444	 0.0645451376365494	 0.00452814790537189	 0.000111631120302511	 0.00168990572795009	 0.00692142936035753	 0.00252901886915463	 0.00120739709868053	 0.00495658569157479	 0.345149520473455	 0.027481886391692	 0.00373780917333105	 
102000	 -387.504970800467	 27.8722994083865	 0.391778846153846	 1	 0.154458103710869	 0.145198263991784	 0.149464053485895	 0.0201930152887586	 0.0588934809573207	 0.00161170269898876	 0.000761565052941599	 0.00123144169366758	 0.00249383835369929	 0.00622377842328856	 0.000178353316465603	 0.00311557420873777	 0.0993548552814131	 0.0219093774416839	 0.00601190483848075	 
104000	 -392.833539142803	 20.6694016453584	 0.391924528301887	 1	 0.161325880681683	 0.110796008881688	 0.199556687335405	 0.0994577454828376	 0.00425212682752121	 0.0212629229134414	 0.0014512929513438	 0.00968176509840477	 0.0120931855999799	 0.00183990479253903	 0.00922214964299029	 0.00496634550494669	 0.0792404388950233	 0.133061281781888	 0.00554395900581505	 
106000	 -390.941238204115	 21.9544280176816	 0.391712962962963	 1	 0.123618583830822	 0.167519924606799	 0.17434982760061	 0.00634628145014965	 0.0745618315730256	 0.0829824229620244	 0.000389421817008137	 0.00248152169712335	 0.00391278658390575	 0.00864479135466056	 0.000350763432192007	 0.0023297558363783	 1.20607380525289	 0.111420799204725	 0.00315762097253297	 
108000	 -390.348513139856	 27.0017939417718	 0.391418181818182	 1	 0.105538293784487	 0.144753440731449	 0.153987734250207	 0.0143064522608377	 0.0027880692127472	 0.0210780388478933	 0.00819056148440287	 0.000670727068028971	 0.00399169043580575	 0.0159299718364679	 0.00277873125163632	 0.00221147986806545	 0.0622812518074885	 0.00442095801523629	 0.00318203346102839	 
110000	 -389.224853029349	 28.5705095613318	 0.392026785714286	 1	 0.103091983414969	 0.105544004186602	 0.212452470424755	 0.0652232320403287	 0.0275164382188904	 0.0784169548788063	 0.00446680742317703	 0.0030979823959177	 0.000384970568190741	 0.00456296307212547	 0.000477098509491839	 0.00137911601266157	 0.133218031587138	 0.0497134785216372	 0.00168188607221679	 
112000	 -393.026020945067	 24.3813726085007	 0.391973684210526	 1	 0.116296373727152	 0.148899626036948	 0.21962860330401	 0.0346043586674847	 0.0609750859892438	 0.111062789176665	 0.0021066307095058	 0.000587853667185532	 0.0010452908246053	 0.00760046021985636	 0.00263714771327567	 0.000348611624595388	 0.44607536127959	 0.296270282231997	 0.00159245161905679	 
114000	 -385.759054541151	 29.2498743286028	 0.391844827586207	 1	 0.130394582771608	 0.0941763067786842	 0.171422659812527	 0.0376374323870084	 0.00013745423668192	 0.00235907083749923	 0.00202248749277776	 0.000637914516947348	 0.00391932708792057	 0.0244114390930698	 0.00114533121570059	 0.000966291512769022	 0.277916991148629	 0.0157533416432648	 0.00248837236430692	 
116000	 -393.320136338438	 43.350672618524	 0.391830508474576	 1	 0.0933214412457523	 0.0563911977321996	 0.180632241632962	 4.75687710749003e-05	 0.000161583633295157	 0.000889021951004148	 8.04510249494492e-05	 0.00201955315726842	 0.000758570052162925	 0.00207147948510245	 0.00419796724545275	 0.00665546247665649	 0.163842267518254	 0.000267456093831004	 0.00329044336063588	 
118000	 -392.471624880099	 29.3164517314088	 0.392608333333333	 1	 0.0950114193412539	 0.0812227893105535	 0.128929066955536	 0.0137557115918592	 0.0118935363680596	 6.94272322947967e-05	 0.0029109336986223	 0.0169500005175881	 0.00184690025798168	 0.00176574274141525	 0.00367518054246438	 0.00432223441085134	 0.263379855830415	 0.010482063271724	 0.0053072815862079	 
